Symbol;Name;LastSale;MarketCap;Sector;Industry;Exchange;BookValuePerShare
NEE;NextEra Energy, Inc.;97.18;42382005742;Public Utilities;Electric Utilities: Central;NYSE;41.64
NEM;Newmont Mining Corporation;22.58;11256790239;Basic Industries;Precious Metals;NYSE;20.1
NES;Nuverra Environmental Solutions, Inc.;16.54;435129887.3;Energy;Oilfield Services/Equipment;NYSE;24.25
NEU;NewMarket Corporation;392.54;5050825919;Basic Industries;Major Chemicals;NYSE;41.7
NEWM;New Media Investment Group Inc.;13.97;419321703.9;Consumer Services;Newspapers/Magazines;NYSE;12.96
NFG;National Fuel Gas Company;75.01;6301466033;Public Utilities;Oil/Gas Transmission;NYSE;27.38
NFX;Newfield Exploration Company;36.56;4984606998;Energy;Oil & Gas Production;NYSE;24.36
NGG;National Grid Transco, PLC;74.85;55842488530;Public Utilities;Natural Gas Distribution;NYSE;26.71
NGL;NGL ENERGY PARTNERS LP;40.09;3234942521;Energy;Oil Refining/Marketing;NYSE;19.81
NGLS;Targa Resources Partners LP;68.73;7855622363;Public Utilities;Natural Gas Distribution;NYSE;18.56
NGS;Natural Gas Services Group, Inc.;29.98;373579430.9;Energy;Oilfield Services/Equipment;NYSE;15.84
NGVC;Natural Grocers by Vitamin Cottage, Inc.;19.73;443470933.8;Consumer Services;Food Chains;NYSE;4.1
NHI;National Health Investors, Inc.;62.76;2074343457;Consumer Services;Real Estate Investment Trusts;NYSE;23.38
NI;NiSource, Inc;37.68;11864559783;Public Utilities;Power Generation;NYSE;19.1
NJ;Nidec Corporation (Nihon Densan Kabushiki Kaisha);14.5;15996960048;Consumer Durables;Metal Fabrications;NYSE;4.62
NJR;NewJersey Resources Corporation;54.75;2306948847;Public Utilities;Oil/Gas Transmission;NYSE;24.7
NKA;Niska Gas Storage Partners LLC;14.27;503748124;Public Utilities;Natural Gas Distribution;NYSE;15.76
NKE;Nike, Inc.;76.72;67370810501;Consumer Non-Durables;Shoe Manufacturing;NYSE;12.64
NL;NL Industries, Inc.;8.59;418108663.6;Basic Industries;Major Chemicals;NYSE;5.65
NLS;Nautilus Group, Inc. (The);10.76;335584311.1;Consumer Non-Durables;Recreational Products/Toys;NYSE;3.11
NLSN;Nielsen N.V.;47.92;18157620697;Miscellaneous;Business Services;NYSE;15.09
NLY;Annaly Capital Management Inc;11.76;11142639208;Consumer Services;Real Estate Investment Trusts;NYSE;12.3
NM;Navios Maritime Holdings Inc.;9;939599244;Transportation;Marine Transportation;NYSE;10.82
NMBL;Nimble Storage, Inc.;23.91;1716738000;Technology;Electronic Components;NYSE;2.59
NMFC;New Mountain Finance Corporation;14.17;736740810;NA;NA;NYSE;14.53
NMM;Navios Maritime Partners LP;18.58;1437333249;Transportation;Marine Transportation;NYSE;10.12
NMR;Nomura Holdings Inc ADR;6.64;24685097476;Finance;Investment Bankers/Brokers/Service;NYSE;6.65
NNA;Navios Maritime Acquisition Corporation;3.55;538410544.1;Transportation;Marine Transportation;NYSE;3.2
NNI;Nelnet, Inc.;40.81;1898070937;Finance;Finance: Consumer Services;NYSE;32.53
NNN;National Retail Properties;35.25;4342436855;Consumer Services;Real Estate Investment Trusts;NYSE;17.95
NOA;North American Energy Partners, Inc.;7.73;270281274.3;Energy;Oilfield Services/Equipment;NYSE;5.09
NOAH;Noah Holdings Ltd.;13.07;722720445.2;Finance;Investment Managers;NYSE;4.49
NOC;Northrop Grumman Corporation;121.96;26115937651;Capital Goods;Industrial Machinery/Components;NYSE;49.16
NOK;Nokia Corporation;8.1;30334454170;Technology;Radio And Television Broadcasting And Communications Equipment;NYSE;2.23
NOR;Noranda Aluminum Holding Corporation;3.09;211885959.7;Basic Industries;Aluminum;NYSE;1.83
NORD;Nord Anglia Education, Inc.;17.81;1690129426;Consumer Services;Other Consumer Services;NYSE;0.3
NOV;National Oilwell Varco, Inc.;74.19;31831057914;Energy;Metal Fabrications;NYSE;52.92
NOW;ServiceNow, Inc.;50.26;7207284000;Technology;Computer Software: Prepackaged Software;NYSE;2.82
NP;Neenah Paper, Inc.;48.59;804650400;Basic Industries;Paper;NYSE;17.11
NPD;China Nepstar Chain Drugstore Ltd;2.44;240828000;Health Care;Medical/Nursing Services;NYSE;1.34
NPK;National Presto Industries, Inc.;69.67;481373230.1;Capital Goods;Ordnance And Accessories;NYSE;43.81
NPO;Enpro Industries;72.86;1655219637;Basic Industries;Metal Fabrications;NYSE;28.96
NPTN;NeoPhotonics Corporation;4.5;142488679.5;Technology;Semiconductors;NYSE;5.62
NQ;NQ Mobile Inc.;7.69;410215436.9;Technology;Computer Software: Prepackaged Software;NYSE;5.52
NR;Newpark Resources, Inc.;11.07;939314949.9;Energy;Metal Fabrications;NYSE;7.05
NRF;Northstar Realty Finance Corp.;16.32;5428693841;Consumer Services;Real Estate Investment Trusts;NYSE;4.91
NRG;NRG Energy, Inc.;35.63;12015883932;Public Utilities;Electric Utilities: Central;NYSE;29.3
NRP;Natural Resource Partners LP;13.55;1495604475;Energy;Coal Mining;NYSE;5.49
NRT;North European Oil Royality Trust;23.3;214140747;Energy;Oil & Gas Production;NYSE;0.01
NRZ;New Residential Investment Corp.;6.36;1794630895;Consumer Services;Real Estate Investment Trusts;NYSE;5.04
NS;Nustar Energy L.P.;58.22;4534527461;Energy;Natural Gas Distribution;NYSE;23.11
NSC;Norfolk Souther Corporation;100.58;31144203330;Transportation;Railroads;NYSE;37.76
NSH;Nustar GP Holdings, LLC;35.04;1494700334;Energy;Natural Gas Distribution;NYSE;7.96
NSLP;New Source Energy Partners L.P.;22.84;359575715.8;Energy;Oil & Gas Production;NYSE;11.29
NSM;Nationstar Mortgage Holdings Inc.;34.98;3175358437;Finance;Finance: Consumer Services;NYSE;11.36
NSP;Insperity, Inc.;32;817118656;Technology;Professional Services;NYSE;9.69
NSR;Neustar, Inc.;27.11;1633050255;Consumer Services;Telecommunications Equipment;NYSE;9.71
NTI;Northern Tier Energy LP;27.95;2591182255;Energy;Integrated oil Companies;NYSE;4.77
NTL;Nortel Inversora SA;20.86;2837316706;Public Utilities;Telecommunications Equipment;NYSE;6.53
NTP;Nam Tai Property Inc.;7.44;336829148.4;Capital Goods;Industrial Machinery/Components;NYSE;7.55
NTT;Nippon Telegraph and Telephone Corporation;30;68196742200;Public Utilities;Telecommunications Equipment;NYSE;37.68
NTZ;Natuzzi, S.p.A.;2.7;148103221.5;Consumer Durables;Home Furnishings;NYSE;4.91
NU;Northeast Utilities;45.34;14326772142;Public Utilities;Electric Utilities: Central;NYSE;30.79
NUE;Nucor Corporation;50.39;16047468987;Basic Industries;Steel/Iron Ore;NYSE;23.87
NUS;Nu Skin Enterprises, Inc.;73.62;4339884423;Health Care;Other Pharmaceuticals;NYSE;14.64
NVGS;Navigator Holdings Ltd.;25.12;1389808337;Transportation;Marine Transportation;NYSE;13.33
NVO;Novo Nordisk A/S;42.34;1.16E+11;Health Care;Major Pharmaceuticals;NYSE;2.32
NVR;NVR, Inc.;1117.83;4941597788;Capital Goods;Homebuilding;NYSE;295.12
NVS;Novartis AG;88.88;2.17E+11;Health Care;Major Pharmaceuticals;NYSE;28.69
NWE;NorthWestern Corporation;47.67;1865612214;Public Utilities;Power Generation;NYSE;27.45
NWHM;New Home Company Inc. (The);12;197385000;Capital Goods;Homebuilding;NYSE;8.66
NWL;Newell Rubbermaid Inc.;29.26;8096242000;Consumer Non-Durables;Plastic Products;NYSE;7.48
NWN;Northwest Natural Gas Company;45.07;1223081086;Public Utilities;Oil/Gas Transmission;NYSE;28.73
NWY;New York & Company, Inc.;3.93;249782971.4;Consumer Services;Clothing/Shoe/Accessory Stores;NYSE;1.82
NX;Quanex Building Products Corporation;17.75;665410349.3;Capital Goods;Metal Fabrications;NYSE;11.14
NYCB;New York Community Bancorp, Inc.;15.4;6816911825;Finance;Banks;NYSE;12.97
NYLD;NRG Yield, Inc.;46.92;3061530000;Public Utilities;Electric Utilities: Central;NYSE;28.7
NYRT;New York REIT, Inc.;11.01;1941496541;Consumer Services;Real Estate Investment Trusts;NYSE;8.14
NYT;New York Times Company (The);14.93;2243475740;Consumer Services;Newspapers/Magazines;NYSE;5.62
O;Realty Income Corporation;43.49;9630506404;Consumer Services;Real Estate Investment Trusts;NYSE;22.72
OAK;Oaktree Capital Group, LLC;50.53;7716068795;Finance;Investment Managers;NYSE;12.73
OAKS;Five Oaks Investment Corp.;12.07;129019247.5;Consumer Services;Real Estate Investment Trusts;NYSE;12.84
OAS;Oasis Petroleum Inc.;49.24;4981856261;Energy;Oil & Gas Production;NYSE;15.02
OB;OneBeacon Insurance Group, Ltd.;15.5;1477093999;Finance;Property-Casualty Insurers;NYSE;11.86
OC;Owens Corning Inc;41.54;4891433616;Capital Goods;Industrial Machinery/Components;NYSE;32.81
OCIP;OCI Partners LP;20.04;1613220000;Basic Industries;Major Chemicals;NYSE;1.63
OCIR;OCI Resources LP;24.23;473877013.5;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels);NYSE;6.98
OCN;Ocwen Financial Corporation;35.07;4730241530;Finance;Finance: Consumer Services;NYSE;13.84
OCR;Omnicare, Inc.;63.63;6301034052;Health Care;Medical/Nursing Services;NYSE;27.45
ODC;Oil-Dri Corporation Of America;31.85;224653783.9;Consumer Durables;Miscellaneous manufacturing industries;NYSE;15.32
ODP;Office Depot, Inc.;5.13;2743245877;Consumer Services;Other Specialty Stores;NYSE;3.67
OEH;Orient-Express Hotels Ltd.;13.2;1607353598;Consumer Services;Hotels/Resorts;NYSE;8.1
OFC;Corporate Office Properties Trust;27.76;2431979509;Consumer Services;Real Estate Investment Trusts;NYSE;13.24
OFG;OFG Bancorp;18.21;819662128.3;Finance;Major Banks;NYSE;16.01
OGE;OGE Energy Corporation;36.63;7294458676;Public Utilities;Electric Utilities: Central;NYSE;15.26
OHI;Omega Healthcare Investors, Inc.;37.06;4671027761;Consumer Services;Real Estate Investment Trusts;NYSE;10.81
OI;Owens-Illinois, Inc.;33.23;5485412808;Consumer Durables;Containers/Packaging;NYSE;9.87
OIBR;Oi S.A.;0.855;1402223635;Public Utilities;Telecommunications Equipment;NYSE;3.25
OII;Oceaneering International, Inc.;71.82;7756700767;Energy;Oilfield Services/Equipment;NYSE;19.36
OILT;Oiltanking Partners, L.P.;90.3;3747432121;Energy;Natural Gas Distribution;NYSE;11.47
OIS;Oil States International, Inc.;61.61;3268802401;Energy;Metal Fabrications;NYSE;48.46
OKE;ONEOK, Inc.;64.46;13399215564;Public Utilities;Oil & Gas Production;NYSE;2.81
OKS;ONEOK Partners, L.P.;55.35;12900120905;Public Utilities;Natural Gas Distribution;NYSE;20.9
OLN;Olin Corporation;27.03;2135617865;Basic Industries;Major Chemicals;NYSE;14.02
OLP;One Liberty Properties, Inc.;21.39;341770789;Consumer Services;Real Estate Investment Trusts;NYSE;16.08
OMC;Omnicom Group Inc.;71.61;18506945688;Technology;Advertising;NYSE;14.39
OME;Omega Protein Corporation;14.59;304961799.5;Consumer Non-Durables;Packaged Foods;NYSE;12.23
OMG;OM Group, Inc.;30.51;979689554.9;Consumer Durables;Miscellaneous manufacturing industries;NYSE;36.21
OMI;Owens & Minor, Inc.;34.53;2178535372;Health Care;Medical Specialities;NYSE;16.36
OMN;OMNOVA Solutions Inc.;9.28;439522905;Basic Industries;Specialty Chemicals;NYSE;3.83
ONE;Higher One Holdings, Inc.;3.61;171683188.7;Miscellaneous;Business Services;NYSE;1.79
OPK;Opko Health Inc;8.55;3537569178;Health Care;Major Pharmaceuticals;NYSE;2.02
OPY;Oppenheimer Holdings, Inc.;22.96;312687785.8;Finance;Investment Bankers/Brokers/Service;NYSE;38.56
ORA;Ormat Technologies, Inc.;29.39;1336619493;Public Utilities;Electric Utilities: Central;NYSE;16.56
ORAN;Orange;16.28;43123854035;Public Utilities;Telecommunications Equipment;NYSE;12.61
ORB;Orbital Sciences Corporation;26.33;1594754624;Technology;Radio And Television Broadcasting And Communications Equipment;NYSE;13.41
ORCL;Oracle Corporation;41.97;1.87E+11;Technology;Computer Software: Prepackaged Software;NYSE;9.97
ORI;Old Republic International Corporation;16.97;4421473511;Finance;Property-Casualty Insurers;NYSE;14.97
ORN;Orion Marine Group Inc;11.05;302925352;Basic Industries;Military/Government/Technical;NYSE;8.32
OSK;Oshkosh Corporation;54.04;4590100642;Capital Goods;Auto Manufacturing;NYSE;24.96
OWW;Orbitz Worldwide, Inc.;7.56;825903736.6;Consumer Services;Transportation Services;NYSE;0.3
OXM;Oxford Industries, Inc.;64.6;1062853206;Consumer Non-Durables;Apparel;NYSE;15.86
OXY;Occidental Petroleum Corporation;99.76;78372867005;Energy;Oil & Gas Production;NYSE;54.73
P;Pandora Media, Inc.;24.37;5006840992;Consumer Services;Broadcasting;NYSE;2.47
PAA;Plains All American Pipeline, L.P.;57.19;20809936331;Energy;Natural Gas Distribution;NYSE;20.49
PAC;Grupo Aeroportuario Del Pacifico, S.A. de C.V.;62.59;3511299000;Transportation;Aerospace;NYSE;33.79
PACD;Pacific Drilling S.A.;10.06;2184418340;Energy;Oil & Gas Production;NYSE;11.14
PAG;Penske Automotive Group, Inc.;46.15;4178883700;Consumer Durables;Automotive Aftermarket;NYSE;17.29
PAGP;Plains Group Holdings, L.P.;28.37;17193064660;Energy;Natural Gas Distribution;NYSE;7.74
PAH;Platform Specialty Products Corporation;27.39;3327640681;Basic Industries;Major Chemicals;NYSE;10.04
PAM;Pampa Energia S.A.;8.91;468420395.9;Public Utilities;Electric Utilities: Central;NYSE;4.05
PANW;Palo Alto Networks, Inc.;73.69;5457839312;Technology;Computer peripheral equipment;NYSE;3.72
PAR;PAR Technology Corporation;4.28;66967293.92;Miscellaneous;Office Equipment/Supplies/Services;NYSE;4.66
PAY;Verifone Systems, Inc.;33.87;3775495234;Miscellaneous;Office Equipment/Supplies/Services;NYSE;9.9
PAYC;Paycom Software, Inc.;13.54;691097265.8;Technology;Computer Software: Prepackaged Software;NYSE;0.13
PB;Prosperity Bancshares, Inc.;58.4;4072326024;Finance;Major Banks;NYSE;42.87
PBA;Pembina Pipeline Corp.;40.15;12966665092;Energy;Oil & Gas Production;NYSE;14.32
PBF;PBF Energy Inc.;31.09;3012111311;Energy;Integrated oil Companies;NYSE;17.98
PBFX;PBF Logistics LP;27.35;868994449.1;NA;NA;NYSE;1.17
PBH;Prestige Brand Holdings, Inc.;33.57;1739439017;Health Care;Major Pharmaceuticals;NYSE;10.87
PBI;Pitney Bowes Inc.;27.99;5671898442;Miscellaneous;Office Equipment/Supplies/Services;NYSE;0.93
PBR;Petroleo Brasileiro S.A.- Petrobras;13.85;90333141240;Energy;Oil & Gas Production;NYSE;24.36
PBT;Permian Basin Royalty Trust;13.96;650658792.2;Energy;Oil & Gas Production;NYSE;0.02
PBY;Pep Boys-Manny, Moe & Jack (The);10.15;540363599;Consumer Services;Other Specialty Stores;NYSE;10.3
PBYI;Puma Biotechnology Inc;57.06;1718522752;Health Care;Major Pharmaceuticals;NYSE;6.6
PCG;Pacific Gas & Electric Co.;45.87;21318374830;Public Utilities;Power Generation;NYSE;31.62
PCL;Plum Creek Timber Company, Inc.;44.87;7946321615;Consumer Services;Real Estate Investment Trusts;NYSE;10.1
PCP;Precision Castparts Corporation;257.97;37344514464;Basic Industries;Metal Fabrications;NYSE;75.98
PDH;PetroLogistics LP;14.39;2005318982;Basic Industries;Major Chemicals;NYSE;2.44
PDM;Piedmont Office Realty Trust, Inc.;18.85;2907999849;Consumer Services;Building operators;NYSE;15.41
PDS;Precision Drilling Corporation;13.08;3825702309;Energy;Oil & Gas Production;NYSE;7.93
PE;Parsley Energy, Inc.;24.32;2865225512;NA;NA;NYSE;6.38
PEB;Pebblebrook Hotel Trust;35.49;2267636567;Consumer Services;Real Estate Investment Trusts;NYSE;22.86
PEG;Public Service Enterprise Group Incorporated;39.11;19786861601;Public Utilities;Power Generation;NYSE;23.32
PEO;Petroleum Resources Corporation;29.61;759628738.3;NA;NA;NYSE;32.26
PEP;Pepsico, Inc.;87.87;1.33E+11;Consumer Non-Durables;Beverages (Production/Distribution);NYSE;15.08
PER;SandRidge Permian Trust;12.27;644175000;Energy;Oil & Gas Production;NYSE;8.22
PES;Pioneer Energy Services Corp.;15.84;993943225.4;Energy;Oil & Gas Production;NYSE;8.28
PF;Pinnacle Foods, Inc.;31.75;3724166034;Consumer Non-Durables;Packaged Foods;NYSE;13.75
PFE;Pfizer, Inc.;29.71;1.90E+11;Health Care;Major Pharmaceuticals;NYSE;12.19
PFG;Principal Financial Group Inc;47.28;13911244564;Finance;Accident &Health Insurance;NYSE;33.88
PFS;Provident Financial Services, Inc;17.04;1027068364;Finance;Savings Institutions;NYSE;17.8
PFSI;PennyMac Financial Services, Inc.;15.9;337025097.3;Finance;Finance: Consumer Services;NYSE;8.45
PG;Procter & Gamble Company (The);80.36;2.17E+11;Basic Industries;Package Goods/Cosmetics;NYSE;25.19
PGH;Pengrowth Energy Corporation;6.36;3350658064;Energy;Oil & Gas Production;NYSE;6.18
PGI;Premiere Global Services, Inc.;12.86;620425478.8;Miscellaneous;Business Services;NYSE;5.96
PGR;Progressive Corporation (The);24.91;14746872026;Finance;Property-Casualty Insurers;NYSE;10.86
PH;Parker-Hannifin Corporation;125.76;18730226196;Capital Goods;Metal Fabrications;NYSE;43.31
PHG;Koninklijke Philips N.V.;31.55;28820451750;Energy;Consumer Electronics/Appliances;NYSE;16.4
PHH;PHH Corp;25.25;1448939839;Finance;Diversified Financial Services;NYSE;28.27
PHI;Philippine Long Distance Telephone Company;66.2;14302892305;Public Utilities;Telecommunications Equipment;NYSE;12.62
PHM;PulteGroup, Inc.;19.65;7440509422;Capital Goods;Homebuilding;NYSE;12.3
PHX;Panhandle Royalty Company;52.23;430201378.6;Energy;Oil & Gas Production;NYSE;12.78
PII;Polaris Industries Inc.;127.61;8408074617;Capital Goods;Industrial Specialties;NYSE;9.35
PIKE;Pike Corporation;8.84;282183160.5;Capital Goods;Engineering & Construction;NYSE;7.95
PIR;Pier 1 Imports, Inc.;17.45;1649618841;Consumer Services;Home Furnishings;NYSE;4.64
PJC;Piper Jaffray Companies;44.52;724226117.2;Finance;Investment Bankers/Brokers/Service;NYSE;51.45
PKD;Parker Drilling Company;6.33;766790778.7;Energy;Oil & Gas Production;NYSE;5.17
PKE;Park Electrochemical Corporation;26.35;550243203.3;Technology;Electrical Products;NYSE;9.61
PKG;Packaging Corporation of America;70.28;6909828256;Consumer Durables;Containers/Packaging;NYSE;14.63
PKI;PerkinElmer, Inc.;45.53;5154905963;Capital Goods;Biotechnology: Laboratory Analytical Instruments;NYSE;17.94
PKX;POSCO;71.33;22763863600;Basic Industries;Steel/Iron Ore;NYSE;112.56
PKY;Parkway Properties, Inc.;20.03;2068897218;Consumer Services;Real Estate Investment Trusts;NYSE;11.67
PL;Protective Life Corporation;58.51;4613332002;Finance;Life Insurance;NYSE;54.09
PLD;ProLogis, Inc.;41.51;20742048880;Consumer Services;Real Estate Investment Trusts;NYSE;26.96
PLL;Pall Corporation;86;9440720176;Capital Goods;Industrial Machinery/Components;NYSE;16.53
PLOW;Douglas Dynamics, Inc.;17.46;388871791.4;Capital Goods;Construction/Ag Equipment/Trucks;NYSE;6.87
PLT;Plantronics, Inc.;45.3;1927454570;Public Utilities;Telecommunications Equipment;NYSE;16.84
PMC;Pharmerica Corporation;27.12;813393643.9;Health Care;Medical/Nursing Services;NYSE;15.67
PMT;PennyMac Mortgage Investment Trust;20.96;1550829163;Consumer Services;Real Estate Investment Trusts;NYSE;20.88
PNC;PNC Financial Services Group, Inc. (The);85.62;45732104260;Finance;Major Banks;NYSE;73.74
PNK;Pinnacle Entertainment, Inc.;24.57;1464189887;Consumer Services;Hotels/Resorts;NYSE;4.01
PNM;PNM Resources, Inc. (Holding Co.);28.38;2260569849;Public Utilities;Electric Utilities: Central;NYSE;20.91
PNR;Pentair plc.;74.96;14594889580;Technology;Industrial Machinery/Components;NYSE;30.49
PNW;Pinnacle West Capital Corporation;55.09;6079584153;Public Utilities;Electric Utilities: Central;NYSE;38.27
PNX;Phoenix Companies, Inc. (The);46.49;264993000;Finance;Life Insurance;NYSE;88.39
PNY;Piedmont Natural Gas Company, Inc.;35.6;2774566278;Public Utilities;Oil/Gas Transmission;NYSE;16.9
POL;PolyOne Corporation;40.06;3770642452;Basic Industries;Major Chemicals;NYSE;10.07
POM;PEPCO Holdings, Inc.;27.68;6948373412;Public Utilities;Power Generation;NYSE;17.28
POR;Portland General Electric Company;32.88;2570635865;Public Utilities;Electric Utilities: Central;NYSE;23.74
POST;Post Holdings, Inc.;49.94;1920504676;Consumer Non-Durables;Packaged Foods;NYSE;54.38
POT;Potash Corporation of Saskatchewan Inc.;35.76;30217803665;Basic Industries;Agricultural Chemicals;NYSE;11.08
POWR;PowerSecure International, Inc;7.81;174664105.2;Miscellaneous;Business Services;NYSE;7.05
PPG;PPG Industries, Inc.;202.33;27974175947;Basic Industries;Paints/Coatings;NYSE;43.34
